serial numbers,Need Asset Tags,Batch
XK77TYJF4T,Yes,oldest
WM4TC7727K,Yes,oldest
Y47GG363YM,Yes,oldest
J4R2WPWW92,Yes,oldest
QN677PT6JH,Yes,oldest
K4LPHG74K6,Yes,oldest
Y9KWR9F2MG,Yes,oldest
D30125GJML,Yes,oldest
MNWG4FW79N,Yes,oldest
FL9N4G6YVK,Yes,oldest
Q07KX0WVY7,Yes,oldest
HN467LXP24,Yes,oldest
WQDJ2116XL,Yes,oldest
Q4971C7MR9,Yes,oldest
LGW46DVJDQ,Yes,oldest
K4MGTWL2J3,No,oldest
LHF0KG7PFP,No,oldest
HFLXH1FJQ0,No,oldest
XDGW60Y6GJ,No,oldest
WFNW296943,No,oldest
R2V75N45W7,No,oldest
FL932MJ90H,No,oldest
V0G25WNY6Y,No,oldest
XJVTQX23J9,No,oldest
F59J6Y7W0W,No,oldest
M7VYG63PH9,No,oldest
G6CVK2X4W7,No,oldest
V45731QVWD,No,oldest
V5LW2JP9Q6,No,oldest
WDX040QY43,No,oldest
L6C9D41GCW,Yes,newest
Y246TFQGHF,Yes,newest
Q2QW1D2CWW,Yes,newest
PM0WLVM8PM,Yes,newest
K7V6QW04N1,Yes,newest
CWCWVGJG9C,Yes,newest
FQ9J9X2V62,Yes,newest
HH29YQC32L,Yes,newest
JXTWK7RXTK,Yes,newest
DHFYXYGXN6,Yes,newest
MKJRXD2W92,Yes,newest
FV6Y9M592P,Yes,newest
D509041XWK,Yes,newest
N2V205Y775,Yes,newest
XLTM7WFW4C,Yes,newest
NVHQJQVRQ3,Yes,newest
D9JLV7JJ43,Yes,newest
Q7G7Y37G9T,Yes,newest
KR60J9LJ49,Yes,newest
